model_name,mode,perplexity,avg_nll,delta_ppl_vs_baseline,delta_nll_vs_baseline,num_tokens
gpt2,baseline,519.931893424022,6.253697828813032,,,198
gpt2,focus_gate,519.5700420263804,6.253001627295908,-0.3618513976415443,-0.0006962015171243507,198
gpt2,dual_pass,517.4590051713556,6.248930304941505,-2.472888252666394,-0.004767523871527679,198
gpt2,extreme,517.4590051713556,6.248930304941505,-2.472888252666394,-0.004767523871527679,198
distilgpt2,baseline,922.3029070855217,6.826873702232284,,,198
distilgpt2,focus_gate,919.4102872767826,6.823732472429372,-2.8926198087391413,-0.0031412298029120933,198
distilgpt2,dual_pass,913.7241976832819,6.81752877283578,-8.578709402239838,-0.00934492939650422,198
distilgpt2,extreme,913.7241976832819,6.81752877283578,-8.578709402239838,-0.00934492939650422,198
